1761988449.623150,0
1761988449.734071,7
1761988449.842556,15
1761988449.950421,24
1761988450.055929,29
1761988450.161684,37
1761988450.267838,46
1761988450.375773,54
1761988450.485646,61
1761988450.591378,66
1761988450.698181,73
1761988450.805729,80
1761988450.911952,85
1761988451.019244,92
1761988451.126590,100
1761988451.232506,99
1761988451.339034,100
1761988451.447431,100
1761988451.554323,99
1761988451.661742,99
1761988451.768211,100
1761988451.873895,99
1761988451.979877,99
1761988452.085806,99
1761988452.191457,99
1761988452.298038,99
1761988452.404535,100
1761988452.510916,100
1761988452.617797,99
1761988452.723376,99
1761988452.830635,97
1761988452.938040,98
1761988453.046169,98
1761988453.152131,99
1761988453.259062,98
1761988453.365189,96
1761988453.471711,99
1761988453.579694,100
1761988453.686928,100
1761988453.798182,98
1761988453.904505,99
1761988454.010243,98
1761988454.116501,98
1761988454.223776,97
1761988454.331549,96
1761988454.438149,97
1761988454.543701,94
1761988454.653863,94
1761988454.759768,94
1761988454.866048,99
1761988454.973044,99
1761988455.080039,100
1761988455.188065,99
1761988455.294711,99
1761988455.402203,99
1761988455.509416,99
1761988455.615602,98
1761988455.723676,99
1761988455.830712,100
1761988455.936045,99
1761988456.044577,99
1761988456.153257,100
1761988456.259812,99
1761988456.365845,99
1761988456.472307,92
1761988456.578706,86
1761988456.685140,82
1761988456.791527,69
1761988456.898488,55
1761988457.004499,43
1761988457.110534,31
1761988457.216693,19
1761988457.323203,25
1761988457.430962,25
1761988457.537450,26
1761988457.643589,27
1761988457.751356,34
1761988457.857354,43
1761988457.964332,55
1761988458.069949,56
1761988458.176152,54
1761988458.283212,52
1761988458.391375,51
1761988458.498878,50
1761988458.605587,51
1761988458.711478,53
1761988458.817736,52
1761988458.924963,53
1761988459.030143,53
1761988459.138669,56
1761988459.245942,55
1761988459.352514,57
1761988459.459118,59
1761988459.566427,58
1761988459.672513,58
1761988459.780456,58
1761988459.886483,56
1761988459.994167,56
1761988460.101392,55
1761988460.207205,52
1761988460.313453,53
1761988460.419964,53
1761988460.526546,53
1761988460.633180,53
1761988460.739612,54
1761988460.846321,54
1761988460.953055,53
1761988461.058674,53
1761988461.165260,53
1761988461.271601,53
1761988461.378310,53
1761988461.485031,53
1761988461.591935,52
1761988461.698244,53
